Province,fsa,Gender,Age,population
Newfoundland and Labrador ,A0P,Male,25 to 29,471
Newfoundland and Labrador ,A0P,Male,30 to 34,477
Newfoundland and Labrador ,A0P,Male,35 to 39,459
Newfoundland and Labrador ,A0P,Male,40 to 44,443
Newfoundland and Labrador ,A0P,Male,45 to 49,463
Newfoundland and Labrador ,A0P,Male,50 to 54,523
Newfoundland and Labrador ,A0P,Male,55 to 59,503
Newfoundland and Labrador ,A0P,Male,60 to 64,393
Newfoundland and Labrador ,A0P,Male,65 to 69,320
Newfoundland and Labrador ,A0P,Male,70 to 74,236
Newfoundland and Labrador ,A0P,Male,75 to 79,132
Newfoundland and Labrador ,A0P,Male,80 to 84,80
Newfoundland and Labrador ,A0P,Male,85 plus,61
Newfoundland and Labrador ,A0R,Female,25 to 29,20
Newfoundland and Labrador ,A0R,Female,30 to 34,20
Newfoundland and Labrador ,A0R,Female,35 to 39,26
Newfoundland and Labrador ,A0R,Female,40 to 44,30
Newfoundland and Labrador ,A0R,Female,45 to 49,37
Newfoundland and Labrador ,A0R,Female,50 to 54,35
Newfoundland and Labrador ,A0R,Female,55 to 59,27
Newfoundland and Labrador ,A0R,Female,60 to 64,14
Newfoundland and Labrador ,A0R,Female,65 to 69,7
Newfoundland and Labrador ,A0R,Female,70 to 74,3
Newfoundland and Labrador ,A0R,Female,80 to 84,1
Newfoundland and Labrador ,A0R,Male,25 to 29,21
Newfoundland and Labrador ,A0R,Male,30 to 34,27
Newfoundland and Labrador ,A0R,Male,35 to 39,26
Newfoundland and Labrador ,A0R,Male,40 to 44,27
Newfoundland and Labrador ,A0R,Male,45 to 49,37
Newfoundland and Labrador ,A0R,Male,50 to 54,37
Newfoundland and Labrador ,A0R,Male,55 to 59,33
Newfoundland and Labrador ,A0R,Male,60 to 64,19
Newfoundland and Labrador ,A0R,Male,65 to 69,9
Newfoundland and Labrador ,A0R,Male,70 to 74,3
Newfoundland and Labrador ,A0R,Male,75 to 79,1
Newfoundland and Labrador ,A1A,Female,25 to 29,918
Newfoundland and Labrador ,A1A,Female,30 to 34,972
Newfoundland and Labrador ,A1A,Female,35 to 39,1054
Newfoundland and Labrador ,A1A,Female,40 to 44,1046
Newfoundland and Labrador ,A1A,Female,45 to 49,1177
Newfoundland and Labrador ,A1A,Female,50 to 54,1154
Newfoundland and Labrador ,A1A,Female,55 to 59,1119
Newfoundland and Labrador ,A1A,Female,60 to 64,1101
Newfoundland and Labrador ,A1A,Female,65 to 69,1056
Newfoundland and Labrador ,A1A,Female,70 to 74,1003
Newfoundland and Labrador ,A1A,Female,75 to 79,683
Newfoundland and Labrador ,A1A,Female,80 to 84,411
Newfoundland and Labrador ,A1A,Female,85 plus,596
Newfoundland and Labrador ,A1A,Male,25 to 29,996
Newfoundland and Labrador ,A1A,Male,30 to 34,966
Newfoundland and Labrador ,A1A,Male,35 to 39,955
Newfoundland and Labrador ,A1A,Male,40 to 44,958
Newfoundland and Labrador ,A1A,Male,45 to 49,1053
Newfoundland and Labrador ,A1A,Male,50 to 54,985
Newfoundland and Labrador ,A1A,Male,55 to 59,1007
Newfoundland and Labrador ,A1A,Male,60 to 64,969
Newfoundland and Labrador ,A1A,Male,65 to 69,858
Newfoundland and Labrador ,A1A,Male,70 to 74,836
Newfoundland and Labrador ,A1A,Male,75 to 79,556
Newfoundland and Labrador ,A1A,Male,80 to 84,367
Newfoundland and Labrador ,A1A,Male,85 plus,315
Newfoundland and Labrador ,A1B,Female,25 to 29,1210
Newfoundland and Labrador ,A1B,Female,30 to 34,873
Newfoundland and Labrador ,A1B,Female,35 to 39,632
Newfoundland and Labrador ,A1B,Female,40 to 44,489
Newfoundland and Labrador ,A1B,Female,45 to 49,477
Newfoundland and Labrador ,A1B,Female,50 to 54,534
Newfoundland and Labrador ,A1B,Female,55 to 59,593
Newfoundland and Labrador ,A1B,Female,60 to 64,544
Newfoundland and Labrador ,A1B,Female,65 to 69,473
Newfoundland and Labrador ,A1B,Female,70 to 74,378
Newfoundland and Labrador ,A1B,Female,75 to 79,262
Newfoundland and Labrador ,A1B,Female,80 to 84,189
Newfoundland and Labrador ,A1B,Female,85 plus,251
Newfoundland and Labrador ,A1B,Male,25 to 29,1489
Newfoundland and Labrador ,A1B,Male,30 to 34,1032
Newfoundland and Labrador ,A1B,Male,35 to 39,697
Newfoundland and Labrador ,A1B,Male,40 to 44,533
Newfoundland and Labrador ,A1B,Male,45 to 49,417
Newfoundland and Labrador ,A1B,Male,50 to 54,462
Newfoundland and Labrador ,A1B,Male,55 to 59,507
Newfoundland and Labrador ,A1B,Male,60 to 64,462
Newfoundland and Labrador ,A1B,Male,65 to 69,414
Newfoundland and Labrador ,A1B,Male,70 to 74,364
Newfoundland and Labrador ,A1B,Male,75 to 79,204
Newfoundland and Labrador ,A1B,Male,80 to 84,166
Newfoundland and Labrador ,A1B,Male,85 plus,140
Newfoundland and Labrador ,A1C,Female,25 to 29,674
Newfoundland and Labrador ,A1C,Female,30 to 34,697
Newfoundland and Labrador ,A1C,Female,35 to 39,519
Newfoundland and Labrador ,A1C,Female,40 to 44,417
Newfoundland and Labrador ,A1C,Female,45 to 49,372
Newfoundland and Labrador ,A1C,Female,50 to 54,416
Newfoundland and Labrador ,A1C,Female,55 to 59,510
Newfoundland and Labrador ,A1C,Female,60 to 64,463
Newfoundland and Labrador ,A1C,Female,65 to 69,406
Newfoundland and Labrador ,A1C,Female,70 to 74,323
Newfoundland and Labrador ,A1C,Female,75 to 79,193
Newfoundland and Labrador ,A1C,Female,80 to 84,144
Newfoundland and Labrador ,A1C,Female,85 plus,137
Newfoundland and Labrador ,A1C,Male,25 to 29,798
Newfoundland and Labrador ,A1C,Male,30 to 34,799
Newfoundland and Labrador ,A1C,Male,35 to 39,594
Newfoundland and Labrador ,A1C,Male,40 to 44,430
Newfoundland and Labrador ,A1C,Male,45 to 49,388
Newfoundland and Labrador ,A1C,Male,50 to 54,439
Newfoundland and Labrador ,A1C,Male,55 to 59,508
Newfoundland and Labrador ,A1C,Male,60 to 64,485
Newfoundland and Labrador ,A1C,Male,65 to 69,386
Newfoundland and Labrador ,A1C,Male,70 to 74,265
Newfoundland and Labrador ,A1C,Male,75 to 79,154
Newfoundland and Labrador ,A1C,Male,80 to 84,64
Newfoundland and Labrador ,A1C,Male,85 plus,45
Newfoundland and Labrador ,A1E,Female,25 to 29,1074
Newfoundland and Labrador ,A1E,Female,30 to 34,956
Newfoundland and Labrador ,A1E,Female,35 to 39,856
Newfoundland and Labrador ,A1E,Female,40 to 44,782
Newfoundland and Labrador ,A1E,Female,45 to 49,789
Newfoundland and Labrador ,A1E,Female,50 to 54,1068
Newfoundland and Labrador ,A1E,Female,55 to 59,1234
Newfoundland and Labrador ,A1E,Female,60 to 64,1190
Newfoundland and Labrador ,A1E,Female,65 to 69,993
Newfoundland and Labrador ,A1E,Female,70 to 74,876
Newfoundland and Labrador ,A1E,Female,75 to 79,587
Newfoundland and Labrador ,A1E,Female,80 to 84,392
Newfoundland and Labrador ,A1E,Female,85 plus,397
Newfoundland and Labrador ,A1E,Male,25 to 29,991
Newfoundland and Labrador ,A1E,Male,30 to 34,1035
Newfoundland and Labrador ,A1E,Male,35 to 39,831
Newfoundland and Labrador ,A1E,Male,40 to 44,701
Newfoundland and Labrador ,A1E,Male,45 to 49,779
Newfoundland and Labrador ,A1E,Male,50 to 54,893
Newfoundland and Labrador ,A1E,Male,55 to 59,1054
Newfoundland and Labrador ,A1E,Male,60 to 64,1045
Newfoundland and Labrador ,A1E,Male,65 to 69,889
Newfoundland and Labrador ,A1E,Male,70 to 74,686
Newfoundland and Labrador ,A1E,Male,75 to 79,453
Newfoundland and Labrador ,A1E,Male,80 to 84,230
Newfoundland and Labrador ,A1E,Male,85 plus,150
Newfoundland and Labrador ,A1G,Female,25 to 29,253
Newfoundland and Labrador ,A1G,Female,30 to 34,260
Newfoundland and Labrador ,A1G,Female,35 to 39,229
Newfoundland and Labrador ,A1G,Female,40 to 44,218
Newfoundland and Labrador ,A1G,Female,45 to 49,250
Newfoundland and Labrador ,A1G,Female,50 to 54,227
Newfoundland and Labrador ,A1G,Female,55 to 59,242
Newfoundland and Labrador ,A1G,Female,60 to 64,207
Newfoundland and Labrador ,A1G,Female,65 to 69,208
Newfoundland and Labrador ,A1G,Female,70 to 74,161
Newfoundland and Labrador ,A1G,Female,75 to 79,97
Newfoundland and Labrador ,A1G,Female,80 to 84,57
Newfoundland and Labrador ,A1G,Female,85 plus,69
Newfoundland and Labrador ,A1G,Male,25 to 29,221
Newfoundland and Labrador ,A1G,Male,30 to 34,265
Newfoundland and Labrador ,A1G,Male,35 to 39,216
Newfoundland and Labrador ,A1G,Male,40 to 44,225
Newfoundland and Labrador ,A1G,Male,45 to 49,218
Newfoundland and Labrador ,A1G,Male,50 to 54,221
Newfoundland and Labrador ,A1G,Male,55 to 59,245
Newfoundland and Labrador ,A1G,Male,60 to 64,183
Newfoundland and Labrador ,A1G,Male,65 to 69,178
Newfoundland and Labrador ,A1G,Male,70 to 74,148
Newfoundland and Labrador ,A1G,Male,75 to 79,87
Newfoundland and Labrador ,A1G,Male,80 to 84,34
Newfoundland and Labrador ,A1G,Male,85 plus,26
Newfoundland and Labrador ,A1H,Female,25 to 29,187
Newfoundland and Labrador ,A1H,Female,30 to 34,251
Newfoundland and Labrador ,A1H,Female,35 to 39,339
Newfoundland and Labrador ,A1H,Female,40 to 44,324
Newfoundland and Labrador ,A1H,Female,45 to 49,328
Newfoundland and Labrador ,A1H,Female,50 to 54,226
Newfoundland and Labrador ,A1H,Female,55 to 59,183
Newfoundland and Labrador ,A1H,Female,60 to 64,120
Newfoundland and Labrador ,A1H,Female,65 to 69,131
Newfoundland and Labrador ,A1H,Female,70 to 74,114
Newfoundland and Labrador ,A1H,Female,75 to 79,47
Newfoundland and Labrador ,A1H,Female,80 to 84,27
Newfoundland and Labrador ,A1H,Female,85 plus,22
Newfoundland and Labrador ,A1H,Male,25 to 29,165
Newfoundland and Labrador ,A1H,Male,30 to 34,230
Newfoundland and Labrador ,A1H,Male,35 to 39,285
Newfoundland and Labrador ,A1H,Male,40 to 44,320
Newfoundland and Labrador ,A1H,Male,45 to 49,319
Newfoundland and Labrador ,A1H,Male,50 to 54,230
Newfoundland and Labrador ,A1H,Male,55 to 59,195
Newfoundland and Labrador ,A1H,Male,60 to 64,130
Newfoundland and Labrador ,A1H,Male,65 to 69,104
Newfoundland and Labrador ,A1H,Male,70 to 74,75
Newfoundland and Labrador ,A1H,Male,75 to 79,46
Newfoundland and Labrador ,A1H,Male,80 to 84,16
Newfoundland and Labrador ,A1H,Male,85 plus,20
Newfoundland and Labrador ,A1K,Female,25 to 29,401
Newfoundland and Labrador ,A1K,Female,30 to 34,457
Newfoundland and Labrador ,A1K,Female,35 to 39,565
Newfoundland and Labrador ,A1K,Female,40 to 44,625
Newfoundland and Labrador ,A1K,Female,45 to 49,640
Newfoundland and Labrador ,A1K,Female,50 to 54,594
